# Dagmar Gromann and Thierry Declerck (2019): "Towards the Detection and Formal Representation of Semantic Shifts in Inflection Morphology". Proceedings of Language, Data, and Knowledge (LDK). 
# Different types of plurals indicated by line starting with :::
:::plural_s_addition with 419 examples 
wb wbs
jack jacks
harmonic harmonics
dry_cleaner dry_cleaners
slack slacks
whisker whiskers
descendant descendants
heart hearts
folk folks
channel channels
nothing nothings
spectacle spectacles
poll polls
bare_bone bare_bones
cost costs
adp adps
flat flats
load loads
mope mopes
road roads
comfort comforts
respect respects
clew clews
groat groats
vapor vapors
shekel shekels
name names
armed_service armed_services
credit credits
shear shears
trapping trappings
ironwork ironworks
pragmatic pragmatics
rocker rockers
dripping drippings
sand sands
hurdle hurdles
manner manners
silk silks
dynamic dynamics
prop props
follower followers
worldly_possession worldly_possessions
digging diggings
marble marbles
vesper vespers
cleat cleats
dud duds
leader leaders
paper papers
shingle shingles
detail details
tap taps
mechanic mechanics
clock clocks
duckpin duckpins
spot spots
circumstance circumstances
bellow bellows
viand viands
shoe shoes
water waters
talk talks
none nones
anagram anagrams
quarter quarters
drawer drawers
hard_time hard_times
squash_racquet squash_racquets
single singles
acre acres
worldly_good worldly_goods
bilge bilges
human_being human_beings
alp alps
communication communications
organ organs
fund funds
nerve nerves
provision provisions
score scores
jackstraw jackstraws
bitter bitters
lashing lashings
payable payables
hysteric hysterics
lot lots
time times
correction corrections
tactic tactics
quadratic quadratics
word words
asset assets
teen teens
blink blinks
shamble shambles
statistic statistics
letter letters
link links
hippie hippies
limber limbers
grit grits
number numbers
marching_order marching_orders
major majors
fall falls
polemic polemics
wit wits
dart darts
string strings
cleaver cleavers
thing things
room rooms
crackling cracklings
scad scads
sprinkle sprinkles
hour hours
kuru kurus
hand hands
coco cocos
wader waders
static statics
crab crabs
mnemonic mnemonics
antipode antipodes
megrim megrims
ana anas
sprite sprites
wage wages
plyer plyers
troop troops
myxomycete myxomycetes
occasion occasions
gyp gyps
shuck shucks
dirty_trick dirty_tricks
optic optics
horseshoe horseshoes
auspice auspices
term terms
pile piles
hindquarter hindquarters
instruction instructions
boxcar boxcars
ring rings
baluster balusters
khaki khakis
plier pliers
cow cows
bowel bowels
crap craps
cobbler cobblers
hackle hackles
bloomer bloomers
ruddle ruddles
defense_lawyer defense_lawyers
creep creeps
gastromycete gastromycetes
scrub scrubs
value values
ambage ambages
beat beats
weed weeds
affair affairs
ninepin ninepins
ancient ancients
discomycete discomycetes
dermatoglyphic dermatoglyphics
inning innings
step steps
dreg dregs
aloe aloes
compliment compliments
iron irons
hoop hoops
esthetic esthetics
candlepin candlepins
scrap scraps
boxer boxers
shade shades
naja najas
brussels_sprout brussels_sprouts
effect effects
winning winnings
domino dominos
spirit spirits
work works
convenience conveniences
device devices
cargo_ship cargo_ships
lee lees
spec specs
jitter jitters
strait straits
profit profits
stall stalls
metric metrics
finance finances
skittle skittles
heroic heroics
hipster hipsters
tremble trembles
physic physics
throe throes
dealing dealings
transaction transactions
moral morals
human humans
scour scours
receipt receipts
slew slews
security_measure security_measures
double doubles
outskirt outskirts
corduroy corduroys
proceeding proceedings
glasswork glassworks
aesthetic aesthetics
shirtsleeve shirtsleeves
