# Dagmar Gromann and Thierry Declerck (2019): "Towards the Detection and Formal Representation of Semantic Shifts in Inflection Morphology". Proceedings of Language, Data, and Knowledge (LDK). 

wb wbs, Cosine: 0.41259882
jack jacks, Cosine: 0.7884808
harmonic harmonics, Cosine: 0.8105547
slack slacks, Cosine: 0.2806436
whisker whiskers, Cosine: 0.6752061
descendant descendants, Cosine: 0.75848156
heart hearts, Cosine: 0.6403255
folk folks, Cosine: 0.42673227
channel channels, Cosine: 0.80871123
nothing nothings, Cosine: 0.48890004
spectacle spectacles, Cosine: 0.65099746
poll polls, Cosine: 0.7861445
cost costs, Cosine: 0.8059646
flat flats, Cosine: 0.43509018
load loads, Cosine: 0.78339225
mope mopes, Cosine: 0.7103101
road roads, Cosine: 0.7364835
comfort comforts, Cosine: 0.63199884
respect respects, Cosine: 0.62447804
clew clews, Cosine: 0.79691994
groat groats, Cosine: 0.64851266
vapor vapors, Cosine: 0.6671644
shekel shekels, Cosine: 0.7407327
name names, Cosine: 0.7491002
credit credits, Cosine: 0.569649
shear shears, Cosine: 0.49998748
trapping trappings, Cosine: 0.17523068
ironwork ironworks, Cosine: 0.6230975
pragmatic pragmatics, Cosine: 0.50054866
rocker rockers, Cosine: 0.7428792
dripping drippings, Cosine: 0.47991937
sand sands, Cosine: 0.71411866
hurdle hurdles, Cosine: 0.7922225
manner manners, Cosine: 0.44218436
silk silks, Cosine: 0.70962334
dynamic dynamics, Cosine: 0.5444531
prop props, Cosine: 0.59384507
follower followers, Cosine: 0.67861694
digging diggings, Cosine: 0.50371015
marble marbles, Cosine: 0.56160426
vesper vespers, Cosine: 0.6899311
cleat cleats, Cosine: 0.7865113
dud duds, Cosine: 0.5979031
leader leaders, Cosine: 0.65656406
paper papers, Cosine: 0.6981194
shingle shingles, Cosine: 0.58370936
detail details, Cosine: 0.7064378
tap taps, Cosine: 0.7538613
mechanic mechanics, Cosine: 0.6923337
clock clocks, Cosine: 0.77188814
duckpin duckpins, Cosine: 0.8540968
spot spots, Cosine: 0.76374006
circumstance circumstances, Cosine: 0.8314444
bellow bellows, Cosine: 0.41416135
viand viands, Cosine: 0.71160984
shoe shoes, Cosine: 0.79093313
water waters, Cosine: 0.59662765
talk talks, Cosine: 0.40216774
none nones, Cosine: 0.14969353
anagram anagrams, Cosine: 0.6745989
quarter quarters, Cosine: 0.68318224
drawer drawers, Cosine: 0.8511416
single singles, Cosine: 0.485486
acre acres, Cosine: 0.8755664
bilge bilges, Cosine: 0.78553945
alp alps, Cosine: 0.5957705
communication communications, Cosine: 0.79869187
organ organs, Cosine: 0.77600014
fund funds, Cosine: 0.83602214
nerve nerves, Cosine: 0.6961365
provision provisions, Cosine: 0.7781524
score scores, Cosine: 0.7518508
bitter bitters, Cosine: 0.30306557
lashing lashings, Cosine: 0.5429852
payable payables, Cosine: 0.46228394
hysteric hysterics, Cosine: 0.70656115
lot lots, Cosine: 0.7560677
time times, Cosine: 0.5403911
correction corrections, Cosine: 0.6975355
tactic tactics, Cosine: 0.7963364
quadratic quadratics, Cosine: 0.7199187
word words, Cosine: 0.7039701
asset assets, Cosine: 0.70876694
teen teens, Cosine: 0.7919222
blink blinks, Cosine: 0.6955827
shamble shambles, Cosine: 0.5273732
statistic statistics, Cosine: 0.7029429
letter letters, Cosine: 0.7924331
link links, Cosine: 0.7460629
hippie hippies, Cosine: 0.845231
limber limbers, Cosine: 0.65439147
grit grits, Cosine: 0.44245407
number numbers, Cosine: 0.7205729
major majors, Cosine: 0.39067098
fall falls, Cosine: 0.66245764
polemic polemics, Cosine: 0.82664466
wit wits, Cosine: 0.53398883
dart darts, Cosine: 0.8425375
string strings, Cosine: 0.77951276
cleaver cleavers, Cosine: 0.70059854
thing things, Cosine: 0.63191056
room rooms, Cosine: 0.73144716
crackling cracklings, Cosine: 0.5880515
scad scads, Cosine: 0.30175698
sprinkle sprinkles, Cosine: 0.70247
hour hours, Cosine: 0.76950985
kuru kurus, Cosine: 0.4564366
