# Dagmar Gromann and Thierry Declerck (2019): "Towards the Detection and Formal Representation of Semantic Shifts in Inflection Morphology". Proceedings of Language, Data, and Knowledge (LDK). 

jack jacks, Cosine: 0.6906662
harmonic harmonics, Cosine: 0.7131686
dry_cleaner dry_cleaners, Cosine: 0.72450686
slack slacks, Cosine: 0.14979565
whisker whiskers, Cosine: 0.45723963
descendant descendants, Cosine: 0.72774285
heart hearts, Cosine: 0.59089357
folk folks, Cosine: 0.2959794
channel channels, Cosine: 0.80992997
nothing nothings, Cosine: 0.27140734
spectacle spectacles, Cosine: 0.53011245
poll polls, Cosine: 0.7592547
cost costs, Cosine: 0.76869005
flat flats, Cosine: 0.32279974
load loads, Cosine: 0.75610346
mope mopes, Cosine: 0.5163402
road roads, Cosine: 0.6416428
comfort comforts, Cosine: 0.6119945
respect respects, Cosine: 0.46580368
groat groats, Cosine: 0.5312421
vapor vapors, Cosine: 0.6781224
shekel shekels, Cosine: 0.69827884
name names, Cosine: 0.75233835
credit credits, Cosine: 0.44732198
shear shears, Cosine: 0.5172803
trapping trappings, Cosine: 0.055981167
ironwork ironworks, Cosine: 0.4574912
pragmatic pragmatics, Cosine: 0.42570972
rocker rockers, Cosine: 0.7338743
dripping drippings, Cosine: 0.36892086
sand sands, Cosine: 0.6107057
hurdle hurdles, Cosine: 0.74061507
manner manners, Cosine: 0.30111578
silk silks, Cosine: 0.59181005
dynamic dynamics, Cosine: 0.5766088
prop props, Cosine: 0.5175281
follower followers, Cosine: 0.59955454
digging diggings, Cosine: 0.4775356
marble marbles, Cosine: 0.41392833
vesper vespers, Cosine: 0.60920054
cleat cleats, Cosine: 0.62451833
dud duds, Cosine: 0.5119061
leader leaders, Cosine: 0.5479303
paper papers, Cosine: 0.5981325
shingle shingles, Cosine: 0.4575476
detail details, Cosine: 0.6135907
tap taps, Cosine: 0.64104635
mechanic mechanics, Cosine: 0.5843204
clock clocks, Cosine: 0.5381194
duckpin duckpins, Cosine: 0.65398747
spot spots, Cosine: 0.7677314
circumstance circumstances, Cosine: 0.7891153
bellow bellows, Cosine: 0.53100723
viand viands, Cosine: 0.7007666
shoe shoes, Cosine: 0.7552986
water waters, Cosine: 0.46372813
talk talks, Cosine: 0.4620633
none nones, Cosine: 0.14111923
anagram anagrams, Cosine: 0.5647434
quarter quarters, Cosine: 0.6045264
drawer drawers, Cosine: 0.7692579
squash_racquet squash_racquets, Cosine: 0.39872646
single singles, Cosine: 0.36158228
acre acres, Cosine: 0.84983176
bilge bilges, Cosine: 0.68865925
alp alps, Cosine: 0.4797448
communication communications, Cosine: 0.7521636
organ organs, Cosine: 0.75812835
fund funds, Cosine: 0.8087703
nerve nerves, Cosine: 0.54198414
provision provisions, Cosine: 0.7728386
score scores, Cosine: 0.6595724
bitter bitters, Cosine: 0.20091882
lashing lashings, Cosine: 0.25630236
payable payables, Cosine: 0.39325124
hysteric hysterics, Cosine: 0.5026765
lot lots, Cosine: 0.71414346
time times, Cosine: 0.4363278
correction corrections, Cosine: 0.5498161
tactic tactics, Cosine: 0.7376582
word words, Cosine: 0.5864381
asset assets, Cosine: 0.7008163
teen teens, Cosine: 0.76843333
blink blinks, Cosine: 0.5572932
shamble shambles, Cosine: 0.31260395
statistic statistics, Cosine: 0.69506115
letter letters, Cosine: 0.7233609
link links, Cosine: 0.7872259
